platform,post_type,post_time,post_day,hour,time_of_day,sentiment_score,likes,comments,shares,engagement_score,virality_index
Facebook,image,2023-08-17 14:45:00,Thursday,14,Afternoon,positive,2121,474,628,3223,1045.1
Facebook,carousel,2023-05-14 00:45:00,Sunday,0,Night,neutral,3660,432,694,4786,1531.4
Instagram,poll,2023-02-21 16:15:00,Tuesday,16,Afternoon,negative,4955,408,688,6051,1912.1
Twitter,image,2023-11-16 00:45:00,Thursday,0,Night,negative,1183,90,187,1460,466.4
Twitter,video,2023-05-23 00:30:00,Tuesday,0,Night,positive,3499,247,286,4032,1242.1
Instagram,carousel,2023-05-05 20:00:00,Friday,20,Evening,neutral,256,186,211,653,219.5
Instagram,image,2023-02-26 11:45:00,Sunday,11,Morning,positive,1982,30,906,2918,1053.6
Instagram,text,2023-10-28 19:30:00,Saturday,19,Evening,neutral,1274,45,216,1535,499.2
Facebook,video,2023-05-02 06:15:00,Tuesday,6,Morning,neutral,317,249,221,787,255.4
Twitter,carousel,2023-05-11 11:00:00,Thursday,11,Morning,neutral,1878,225,438,2541,827.4
Twitter,text,2023-12-08 02:15:00,Friday,2,Night,negative,1446,44,52,1542,468.6
Twitter,video,2023-06-15 03:15:00,Thursday,3,Night,positive,304,42,89,435,144.1
Facebook,carousel,2023-11-11 15:45:00,Saturday,15,Afternoon,negative,45,78,375,498,216.6
Twitter,text,2023-09-30 10:30:00,Saturday,10,Morning,positive,1333,144,123,1600,490.2
Facebook,carousel,2023-01-09 20:00:00,Monday,20,Evening,positive,889,314,262,1465,460.5
Twitter,image,2023-02-10 13:00:00,Friday,13,Afternoon,neutral,2348,154,18,2520,744.2
Instagram,poll,2023-07-05 05:15:00,Wednesday,5,Morning,positive,2872,10,736,3618,1231.6
Twitter,text,2023-07-23 05:45:00,Sunday,5,Morning,neutral,512,123,338,973,347.2
Twitter,text,2023-11-20 02:00:00,Monday,2,Night,positive,2013,122,183,2318,719.8
Facebook,image,2023-02-02 16:00:00,Thursday,16,Afternoon,positive,455,86,79,620,193.2
Twitter,poll,2023-05-02 06:15:00,Tuesday,6,Morning,neutral,559,136,55,750,222.4
Twitter,carousel,2023-01-30 13:30:00,Monday,13,Afternoon,positive,1961,44,439,2444,816.6
Twitter,text,2023-10-02 12:15:00,Monday,12,Afternoon,positive,332,109,348,789,295.4
Instagram,carousel,2023-01-01 20:00:00,Sunday,20,Evening,positive,5000,80,399,5479,1715.5
Twitter,poll,2023-05-17 00:15:00,Wednesday,0,Night,positive,898,130,480,1508,535.4
Facebook,carousel,2023-10-05 06:30:00,Thursday,6,Morning,negative,1992,70,515,2577,869.1
Instagram,text,2023-10-06 10:00:00,Friday,10,Morning,positive,3161,162,137,3460,1049.2
Facebook,poll,2023-03-01 08:00:00,Wednesday,8,Morning,neutral,2083,500,388,2971,918.9
Facebook,image,2023-01-07 10:30:00,Saturday,10,Morning,negative,548,153,731,1432,560.5
Facebook,carousel,2023-02-03 00:30:00,Friday,0,Night,positive,4594,216,739,5549,1790.9
Facebook,poll,2023-09-10 13:45:00,Sunday,13,Afternoon,negative,4795,449,978,6222,2017.3
Instagram,image,2023-07-01 14:45:00,Saturday,14,Afternoon,positive,4665,202,183,5050,1531.4
Twitter,video,2023-09-27 19:00:00,Wednesday,19,Evening,positive,119,147,240,506,185.1
Twitter,poll,2023-02-09 15:30:00,Thursday,15,Afternoon,positive,2253,162,28,2443,722.3
Instagram,image,2023-06-06 19:30:00,Tuesday,19,Evening,negative,1309,201,852,2362,858.9
Facebook,video,2023-04-08 19:15:00,Saturday,19,Evening,positive,5000,500,43,5543,1621.5
Facebook,video,2023-05-11 00:30:00,Thursday,0,Night,neutral,4245,59,83,4387,1326.8
Twitter,poll,2023-05-02 00:30:00,Tuesday,0,Night,positive,2463,187,445,3095,998.8
Facebook,video,2023-01-01 06:00:00,Sunday,6,Morning,neutral,5000,430,980,6410,2076.0
Instagram,carousel,2023-08-04 12:45:00,Friday,12,Afternoon,negative,447,333,845,1625,623.2
Twitter,carousel,2023-12-27 11:30:00,Wednesday,11,Morning,positive,667,176,461,1304,465.8
Instagram,video,2023-11-23 02:00:00,Thursday,2,Night,negative,4929,252,730,5911,1894.1
Twitter,carousel,2023-03-31 16:00:00,Friday,16,Afternoon,positive,2586,97,85,2768,837.7
Instagram,text,2023-07-06 08:00:00,Thursday,8,Morning,negative,3259,50,177,3486,1076.2
Twitter,video,2023-12-01 10:00:00,Friday,10,Morning,positive,2236,132,118,2486,756.2
Instagram,text,2023-05-16 22:15:00,Tuesday,22,Night,positive,2251,380,427,3058,964.8
Facebook,poll,2023-08-08 17:45:00,Tuesday,17,Evening,negative,4726,44,993,5763,1923.1
Facebook,video,2023-03-22 03:15:00,Wednesday,3,Night,negative,5000,232,16,5248,1554.4
Twitter,image,2023-04-17 15:00:00,Monday,15,Afternoon,neutral,725,169,298,1192,400.3
Instagram,text,2023-07-12 00:00:00,Wednesday,0,Night,negative,1551,206,127,1884,570.0
Twitter,text,2023-02-14 18:00:00,Tuesday,18,Evening,positive,1268,73,251,1592,520.5
Twitter,image,2023-07-14 15:00:00,Friday,15,Afternoon,positive,950,113,327,1390,471.1
Twitter,video,2023-11-12 17:30:00,Sunday,17,Evening,positive,1498,46,96,1640,506.6
Instagram,image,2023-01-21 01:00:00,Saturday,1,Night,negative,4297,360,825,5482,1773.6
Twitter,carousel,2023-10-02 23:30:00,Monday,23,Night,neutral,592,34,496,1122,432.4
Instagram,image,2023-03-13 23:15:00,Monday,23,Night,negative,3401,190,230,3821,1173.3
Instagram,video,2023-07-13 09:15:00,Thursday,9,Morning,neutral,4846,134,498,5478,1729.6
Facebook,video,2023-12-27 04:00:00,Wednesday,4,Night,neutral,2204,116,728,3048,1048.4
Twitter,video,2023-12-24 07:45:00,Sunday,7,Morning,neutral,344,99,194,637,220.0
Instagram,carousel,2023-05-19 04:30:00,Friday,4,Night,positive,4763,332,956,6051,1973.3
Instagram,video,2023-12-31 22:30:00,Sunday,22,Night,negative,3544,167,761,4472,1477.1
Facebook,carousel,2023-01-27 15:45:00,Friday,15,Afternoon,negative,3742,227,849,4818,1592.5
Twitter,image,2023-05-15 06:30:00,Monday,6,Morning,neutral,227,163,127,517,164.2
Instagram,carousel,2023-04-19 19:45:00,Wednesday,19,Evening,neutral,130,452,724,1306,491.4
Instagram,image,2023-09-20 06:00:00,Wednesday,6,Morning,positive,3982,314,326,4622,1420.4
Facebook,text,2023-01-03 03:00:00,Tuesday,3,Night,positive,2265,39,318,2622,846.3
Facebook,carousel,2023-04-23 08:15:00,Sunday,8,Morning,negative,2026,390,165,2581,768.3
Instagram,video,2023-12-28 16:45:00,Thursday,16,Afternoon,negative,560,486,677,1723,603.7
Twitter,image,2023-10-14 18:45:00,Saturday,18,Evening,neutral,187,89,284,560,215.9
Facebook,text,2023-06-12 09:30:00,Monday,9,Morning,negative,3094,86,965,4145,1427.9
Instagram,video,2023-04-10 00:00:00,Monday,0,Night,neutral,3398,261,630,4289,1386.6
Facebook,carousel,2023-05-05 16:45:00,Friday,16,Afternoon,neutral,1690,257,656,2603,886.4
Facebook,text,2023-07-18 22:00:00,Tuesday,22,Night,positive,3026,11,761,3798,1290.5
Instagram,video,2023-04-14 10:30:00,Friday,10,Morning,positive,5000,454,744,6198,1962.8
Facebook,video,2023-07-26 20:15:00,Wednesday,20,Evening,positive,5000,500,404,5904,1802.0
Instagram,text,2023-07-27 19:15:00,Thursday,19,Evening,neutral,2153,81,114,2348,719.1
Twitter,carousel,2023-07-05 18:15:00,Wednesday,18,Evening,positive,3571,102,96,3769,1139.7
Instagram,poll,2023-01-19 07:15:00,Thursday,7,Morning,positive,2990,30,365,3385,1085.5
Instagram,carousel,2023-12-13 04:45:00,Wednesday,4,Night,positive,4678,189,785,5652,1833.7
Facebook,text,2023-06-25 15:15:00,Sunday,15,Afternoon,positive,553,320,312,1185,385.9
Facebook,video,2023-01-04 18:30:00,Wednesday,18,Evening,neutral,2642,33,413,3088,1005.7
Instagram,carousel,2023-11-19 12:30:00,Sunday,12,Afternoon,negative,4656,314,757,5727,1838.1
Instagram,video,2023-12-06 04:00:00,Wednesday,4,Night,negative,5000,173,792,5965,1930.6
Facebook,carousel,2023-10-03 19:00:00,Tuesday,19,Evening,negative,1203,263,417,1883,622.0
Facebook,text,2023-07-06 07:00:00,Thursday,7,Morning,neutral,2566,368,304,3238,995.4
Twitter,text,2023-11-25 07:30:00,Saturday,7,Morning,positive,2416,50,62,2528,765.8
Instagram,text,2023-05-23 22:30:00,Tuesday,22,Night,neutral,15,70,454,539,245.5
Facebook,text,2023-05-03 12:30:00,Wednesday,12,Afternoon,positive,3404,244,67,3715,1103.5
Twitter,carousel,2023-05-03 08:00:00,Wednesday,8,Morning,positive,2884,197,339,3420,1074.1
Instagram,poll,2023-03-19 04:00:00,Sunday,4,Night,negative,3195,109,243,3547,1101.8
Facebook,carousel,2023-09-15 00:45:00,Friday,0,Night,negative,3956,402,462,4820,1498.2
Facebook,video,2023-02-23 17:15:00,Thursday,17,Evening,positive,1857,216,344,2417,772.3
Instagram,carousel,2023-05-07 00:30:00,Sunday,0,Night,negative,951,432,734,2117,738.7
Facebook,image,2023-11-27 04:30:00,Monday,4,Night,positive,1694,207,290,2191,694.6
Instagram,poll,2023-03-07 19:15:00,Tuesday,19,Evening,positive,3005,124,517,3646,1184.8
Instagram,carousel,2023-07-12 17:45:00,Wednesday,17,Evening,positive,36,294,911,1241,525.1
Twitter,video,2023-10-27 23:45:00,Friday,23,Night,neutral,314,108,458,880,344.8
Twitter,text,2023-08-05 08:45:00,Saturday,8,Morning,positive,229,179,38,446,123.5
Instagram,poll,2023-12-29 12:15:00,Friday,12,Afternoon,positive,5000,500,204,5704,1702.0
Instagram,image,2023-06-06 21:00:00,Tuesday,21,Night,neutral,4483,357,25,4865,1428.8
